,is_canceled,lead_time,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,adr,required_car_parking_spaces,Country,Region,Population,Area(sq.mi.),Pop.Density(persq.mi.),Coastline(coast/arearatio),Netmigration,Infantmortality(per1000births),GDP($percapita),Literacy(%),Phones(per1000),Arable(%),Crops(%),Other(%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
14,0.16,73.25333333333333,0.0,0.0,0.0,0.3466666666666667,1.0,2.506666666666667,1.8133333333333332,0.13333333333333333,0.0,111.89333333333333,0.04,Bulgaria,EASTERNEUROPE,7385367,110910,66.6,0.32,-4.58,20.55,7600.0,98.6,336.3,40.02,1.92,58.06,3.0,9.65,14.27,0.093,0.304,0.603
15,0.8,173.8,0.0,0.0,0.0,0.8,0.8,2.4,1.8,0.6,0.0,145.32999999999998,0.0,Bahrain,NEAREAST,698585,665,1050.5,24.21,1.05,17.27,16900.0,89.1,281.3,2.82,5.63,91.55,1.0,17.8,4.14,0.005,0.387,0.608
16,0.34615384615384615,78.42307692307692,0.0,0.0,0.0,0.23076923076923078,1.0384615384615385,3.1153846153846154,1.5769230769230769,0.038461538461538464,0.0,103.31884615384615,0.038461538461538464,Belarus,C.W.OFIND.STATES,10293011,207600,49.6,0.0,2.54,13.37,6100.0,99.6,319.1,29.55,0.6,69.85,4.0,11.16,14.02,0.093,0.316,0.591
17,0.0,17.1,0.0,0.0,0.0,0.2,1.0,2.0,1.8,0.0,0.0,115.0,0.0,Bolivia,LATINAMER.&CARIB,8989046,1098580,8.2,0.0,-1.32,53.11,2400.0,87.2,71.9,2.67,0.19,97.14,1.5,23.3,7.53,0.128,0.352,0.52
18,0.3732014388489209,83.29001798561151,0.006294964028776978,0.01079136690647482,0.011241007194244604,0.2648381294964029,1.0260791366906474,2.4626798561151078,2.0008992805755397,0.1767086330935252,0.01079136690647482,111.00533723021583,0.0625,Brazil,LATINAMER.&CARIB,188078227,8511965,22.1,0.09,-0.03,29.61,7600.0,86.4,225.3,6.96,0.9,92.15,2.0,16.56,6.17,0.084,0.4,0.516
19,0.0,192.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,95.0,0.0,Barbados,LATINAMER.&CARIB,279912,431,649.5,22.51,-0.31,12.5,15700.0,97.4,481.9,37.21,2.33,60.46,2.0,12.71,8.67,0.06,0.16,0.78
20,0.0,91.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,118.5,0.0,Botswana,SUB-SAHARANAFRICA,1639833,600370,2.7,0.0,0.0,54.58,9000.0,79.8,80.5,0.65,0.01,99.34,1.0,23.08,29.5,0.024,0.469,0.507
21,0.24739884393063583,91.07167630057803,0.0017341040462427746,0.0,0.0005780346820809249,0.2300578034682081,1.0242774566473989,2.608092485549133,1.93757225433526,0.16473988439306358,0.005202312138728324,121.83013294797688,0.06994219653179191,Switzerland,WESTERNEUROPE,7523934,41290,182.2,0.0,4.05,4.39,32700.0,99.0,680.9,10.42,0.61,88.97,3.0,9.71,8.49,0.015,0.34,0.645
22,0.24615384615384617,53.6,0.0,0.0,0.0,0.46153846153846156,1.0307692307692307,2.1846153846153844,1.9538461538461538,0.18461538461538463,0.0,118.89076923076922,0.12307692307692308,Chile,LATINAMER.&CARIB,16134219,756950,21.3,0.85,0.0,8.8,9900.0,96.2,213.0,2.65,0.42,96.93,3.0,15.23,5.81,0.06,0.493,0.447
23,0.4624624624624625,42.74374374374374,0.008008008008008008,0.0,0.006006006006006006,0.2032032032032032,0.8058058058058059,1.8388388388388388,1.88988988988989,0.13313313313313313,0.002002002002002002,110.53893893893893,0.01901901901901902,China,ASIA(EX.NEAREAST),1313973713,9596960,136.9,0.15,-0.4,24.18,5000.0,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403
24,0.19859265050820954,118.85691946833464,0.003909304143862392,0.0,0.0023455824863174357,0.20797498045347929,1.236903831118061,2.7404222048475373,1.959343236903831,0.0985144644253323,0.007818608287724784,108.68844409695073,0.0906958561376075,China,ASIA(EX.NEAREAST),1313973713,9596960,136.9,0.15,-0.4,24.18,5000.0,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403
25,0.0,87.1,0.0,0.0,0.0,0.4,1.4,2.8,2.0,0.1,0.0,88.327,0.0,Cameroon,SUB-SAHARANAFRICA,17340702,475440,36.5,0.08,0.0,68.26,1800.0,79.0,5.7,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382
26,0.323943661971831,62.478873239436616,0.0,0.0,0.014084507042253521,0.28169014084507044,0.7887323943661971,1.7746478873239437,2.084507042253521,0.07042253521126761,0.014084507042253521,121.19802816901408,0.07042253521126761,Colombia,LATINAMER.&CARIB,43593035,1138910,38.3,0.28,-0.31,20.97,6300.0,92.5,176.2,2.42,1.67,95.91,2.0,20.48,5.58,0.125,0.342,0.533
27,0.0,22.5,0.0,0.0,0.0,0.0,0.5,0.5,2.0,1.5,0.0,165.305,0.0,Comoros,SUB-SAHARANAFRICA,690948,2170,318.4,15.67,0.0,74.93,700.0,56.5,24.5,35.87,23.32,40.81,2.0,36.93,8.2,0.4,0.04,0.56
28,0.0,13.5,0.0,0.0,0.0,0.5,0.875,1.75,1.625,0.0,0.125,99.36625,0.0,Cuba,LATINAMER.&CARIB,11382820,110860,102.7,3.37,-1.58,6.33,2900.0,97.0,74.7,33.05,7.6,59.35,2.0,11.89,7.22,0.055,0.261,0.684
