iso_code,location,continent,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,positive_rate,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
NIC,Nicaragua,North America,2265.127,35.26,0.9952510460251046,,,28.666,0.035,87.66,11.354616087751372,51.667,27.299999999999997,5.445,11.47,,,,0.8999999999999999,74.48,0.66
NIU,Niue,Oceania,418545.082,,,,,,,83.76,,,,,,,,,,73.71,
NLD,Netherlands,Europe,490227.864,1309.04,1.0697192642787996,43.783,109.201,1753.393,0.7,68.08,42.975347349177326,508.544,43.2,18.779,5.29,24.4,27.3,,3.3199999999999994,82.28,0.944
NOR,Norway,Europe,273281.829,1017.238,1.0388565891472867,,117.402,2064.505,0.787,74.61,35.695210237659964,14.462,39.7,16.821,5.31,19.6,20.7,,3.5999999999999996,82.4,0.957
NPL,Nepal,Asia,32845.541,393.845,1.0120721649484536,,,232.031,0.463,79.8,51.27999085923217,204.43,25.0,5.809,7.26,9.5,37.8,47.782,0.3,70.78,0.602
NRU,Nauru,Oceania,424946.813,78.796,0.12112244897959183,,,,,89.4,,682.45,,,24.07,43.0,36.9,,5.0,59.96,
NZL,New Zealand,Oceania,444901.528,567.374,0.8945767716535433,,,1416.09,,80.66,34.749259597806216,18.206,37.9,15.322,8.08,14.8,17.2,,2.61,82.29,0.931
OMN,Oman,Asia,87286.454,1011.297,0.8578557312252965,,,449.439,0.7041,66.62,46.372531992687385,14.98,30.700000000000003,2.355,12.61,0.5,15.6,97.4,1.6,77.86,0.813
OWID_AFR,Africa,,9176.132,181.5,,,,,,30.61,,,,,,,,,,,
OWID_ASI,Asia,,63075.805,345.881,,,,,,72.96,,,,,,,,,,,
OWID_CYN,Northern Cyprus,Asia,,,,,,,,81.78,,,,,,,,,,,
OWID_ENG,England,Europe,,,,66.065,607.179,,,75.95,,,,,,,,,,,
OWID_EUN,European Union,,409432.547,2742.703,,,,,,72.9,,,,,,,,,,,
OWID_EUR,Europe,,335168.298,2774.63,,,,,,66.23,,,,,,,,,,,
OWID_HIC,High income,,337950.05,2307.081,,,,,,74.32,,,,,,,,,,,
OWID_KOS,Kosovo,Europe,153695.469,1800.108,1.026782522343595,,,1036.053,0.2611,46.3,48.488683729433276,168.155,,,,,,,,,
OWID_LIC,Low income,,3125.188,64.998,,,,,,25.66,,,,,,,,,,,
OWID_LMC,Lower middle income,,28445.471,391.375,,,,,,59.04,,,,,,,,,,,
OWID_NAM,North America,,207123.107,2668.464,,,,,,65.69,,,,,,,,,,,
OWID_NIR,Northern Ireland,Europe,,,,33.228,558.544,,,71.78,,,,,,,,,,,
OWID_OCE,Oceania,,315632.123,607.142,,,,,,62.09,,,,,,,,,,,
OWID_SAM,South America,,157171.283,3097.945,,,,,,77.12,,,,,,,,,,,
OWID_SCT,Scotland,Europe,,,,40.432,440.176,,,78.41,,,,,,,,,,,
OWID_UMC,Upper middle income,,96596.392,1053.444,,,,,,78.74,,,,,,,,,,,
OWID_WLS,Wales,Europe,,,,51.735,633.754,,,78.14,,,,,,,,,,,
OWID_WRL,World,,96268.336,870.344,1.0701579925650557,,,,,64.38,,58.045,30.899999999999995,8.696,8.51,6.434,34.635,60.13,2.705,72.58,0.737
PAK,Pakistan,Asia,6702.563,129.995,0.9649169110459433,,,124.846,0.2562,59.56,52.350868372943324,255.573,23.5,4.495,8.35,2.8,36.7,59.607,0.6,67.27,0.557
PAN,Panama,North America,235955.688,1956.185,0.9973405299313052,,,1493.643,0.4137,72.0,50.06598720292505,55.133,29.700000000000003,7.918,8.33,2.4,9.9,,2.3,78.51,0.815
PCN,Pitcairn,Oceania,85106.383,,,,,,,100.0,,,,,,,,,,,
PER,Peru,South America,132376.433,6480.93,1.0810088148873653,,,859.283,0.333,84.18,53.71301645338208,25.129,29.100000000000005,7.151,5.95,4.8,,,1.6,76.74,0.777
PHL,Philippines,Asia,35898.552,575.256,1.04533203125,,,250.025,0.4611,67.88,58.58877513711152,351.873,25.2,4.803,7.07,7.8,40.8,78.463,1.0,71.23,0.718
PLW,Palau,Oceania,332282.681,497.678,0.5984857142857143,,,3308.2,0.1534,,,47.237,,,15.89,7.7,22.7,,4.8,73.7,0.8260000000000001
PNG,Papua New Guinea,Oceania,4620.5,66.058,0.7941223103057758,,,25.042,,3.17,45.28147166361975,18.22,22.6,3.808,17.65,23.5,48.8,,,64.5,0.555
POL,Poland,Europe,163514.902,3001.143,1.043388671875,,874.724,964.881,0.4069,56.82,39.8650365630713,124.027,41.8,16.763,5.91,23.3,33.1,,6.62,78.73,0.88
PRI,Puerto Rico,North America,385164.303,1825.722,,,,927.239,0.823,,0.0,376.232,38.2,15.168,12.9,,,,,80.1,
PRK,North Korea,Asia,,,,,,7.045,,,,211.701,35.3,9.491,4.0,,,,13.199999999999998,72.27,
PRT,Portugal,Europe,544262.957,2609.714,1.031258536585366,88.016,668.785,4161.808,0.5301,86.66,43.77980804387568,112.371,46.2,21.502,9.85,16.3,30.0,,3.3899999999999997,82.05,0.8640000000000001
PRY,Paraguay,South America,108507.104,2931.831,0.8421834496510469,,,389.304,0.639,52.31,43.75977148080439,17.144,26.5,6.378,8.27,5.0,21.6,79.602,1.3,74.25,0.728
PSE,Palestine,Asia,133946.251,1087.222,0.8506838453914768,,,,0.8582,33.85,51.76260511882998,778.202,20.4,3.043,10.59,,,,,74.05,0.708
PYF,French Polynesia,Oceania,256585.219,2118.893,,,,,,60.99,,77.324,32.7,7.775,22.63,,,,,77.66,
QAT,Qatar,Asia,190558.455,256.017,1.0215481986368062,,,2817.619,,105.83,52.586325411334556,227.322,31.899999999999995,1.307,16.52,0.8,26.9,,1.2,80.23,0.848
REU,Reunion,Africa,507765.419,945.525,,,,,,,,,36.0,,,,,,,80.48,
ROU,Romania,Europe,173211.213,3468.745,0.949892578125,96.748,1065.706,1099.946,0.7675,41.28,44.404478976234,85.129,43.0,17.85,9.74,22.9,37.1,,6.8919999999999995,76.05,0.828
RUS,Russia,Europe,158537.302,2758.737,1.0461998041136142,,,2034.729,0.2949,55.08,41.29217550274223,8.823,39.6,14.178,6.18,23.4,58.3,,8.05,72.58,0.824
RWA,Rwanda,Africa,9668.061,106.557,0.9276470588235294,,,411.155,0.1257,71.85,53.826005484460694,494.869,20.3,2.974,4.28,4.7,21.0,4.617,,69.02,0.543
SAU,Saudi Arabia,Asia,23111.678,264.936,1.014609375,,,1203.085,0.1938,69.86,45.65463436928702,15.322,31.899999999999995,3.295,17.72,1.8,25.4,,2.7,75.13,0.8540000000000001
SDN,Sudan,Africa,1365.207,107.65,0.8305578093306287,,,12.33,,28.62,29.500191956124315,23.258,19.7,3.548,15.67,,,23.437,0.8,65.31,0.51
SEN,Senegal,Africa,5139.563,113.822,0.9776976284584981,,,65.303,0.5714,8.33,26.687056672760512,82.328,18.7,3.008,2.42,0.4,16.6,20.859,,67.94,0.512
SGP,Singapore,Asia,438938.858,305.48,1.0519364161849711,,,,0.1718,90.85,43.654003656307125,7915.731,42.4,12.922,10.99,5.2,28.3,,2.4,83.62,0.938
SHN,Saint Helena,Africa,401036.845,,,,,,,65.38,,,,,,,,,,80.56,
SLB,Solomon Islands,Oceania,29838.238,211.247,0.3260579710144928,,,,,35.12,36.62259597806216,21.841,20.8,3.507,18.68,,,35.89,1.4,73.0,0.567
SLE,Sierra Leone,Africa,901.958,14.641,0.663564862104188,,,50.889,0.0027,51.99,42.811252285191955,104.7,19.1,2.538,2.42,8.8,41.3,19.275,,54.7,0.452
SLV,El Salvador,North America,31845.405,667.572,0.62374749498998,,,304.335,0.204,68.56,41.48520109689213,307.811,27.600000000000005,8.273,8.87,2.5,18.8,90.65,1.3,73.32,0.673
SMR,San Marino,Europe,721222.915,3710.3,0.8250146914789422,,,,,70.15,36.51049360146253,556.667,,,5.64,,,,3.7999999999999994,84.97,
SOM,Somalia,Africa,1553.288,77.34,0.576959595959596,,,29.37,0.0624,39.98,29.939606946983545,23.5,16.8,2.731,6.05,,,9.831,0.8999999999999999,57.4,
SPM,Saint Pierre and Miquelon,North America,582158.029,339.847,,,,,,,,,,,,,,,,81.07,
SRB,Serbia,Europe,369984.081,2627.501,1.0367811579980373,51.371,1416.129,1433.869,0.5768,47.71,37.394954296160876,80.291,41.2,17.366,10.08,37.7,40.2,97.719,5.609,76.0,0.806
SSD,South Sudan,Africa,1683.104,12.645,0.7355005159958721,,,38.172,0.3558,38.67,40.410100548446074,,19.2,3.441,10.43,,,,,57.85,0.433
STP,Sao Tome and Principe,Africa,28914.698,351.814,0.5605246913580247,,,21.039,0.0504,49.25,,212.841,18.7,2.886,2.42,,,41.34,2.9,70.39,0.625
SUR,Suriname,South America,133506.244,2273.294,0.8821914893617021,,,137.335,0.508,38.49,54.346654478976234,3.612,29.600000000000005,6.933,12.54,7.4,42.9,67.779,3.1,71.68,0.738
SVK,Slovakia,Europe,330800.37,3750.717,0.9855740922473012,112.165,701.343,9405.66,0.34,45.68,39.05111517367459,113.128,41.2,15.07,7.29,23.1,37.7,,5.82,77.54,0.86
SVN,Slovenia,Europe,634192.249,4424.384,1.0561463414634147,136.331,624.575,2517.858,0.748,57.66,40.655402193784276,102.619,44.5,19.062,7.25,20.1,25.0,,4.5,81.32,0.917
SWE,Sweden,Europe,256928.555,2310.19,1.143827519379845,53.084,263.144,1758.614,0.7919,71.98,36.756435100548444,24.718,41.0,19.985,4.79,18.8,18.9,,2.22,82.8,0.945
SWZ,Eswatini,Africa,62138.007,1185.84,0.8977175025588536,,,461.016,0.194,35.46,48.67247714808044,79.492,21.5,3.163,3.94,1.7,16.5,24.097,2.1,60.19,0.611
SXM,Sint Maarten (Dutch part),North America,250067.886,2081.825,,,,,,60.58,,1209.088,,,,,,,,78.95,
SYC,Seychelles,Africa,475446.866,1605.451,0.7327924944812362,,,,,78.0,46.13047531992687,208.354,36.2,8.606,10.55,7.1,35.7,,3.5999999999999996,73.4,0.796
SYR,Syria,Asia,2595.361,142.959,0.9767752100840336,,,8.251,0.5305,10.66,37.58095978062157,,21.7,,,,,70.598,1.5,72.7,0.567
TCA,Turks and Caicos Islands,North America,144075.581,831.037,,,,,,67.16,,37.312,,,,,,,,80.22,
TCD,Chad,Africa,434.343,10.946,0.6533128205128206,,,12.74,0.2394,34.57,36.380009140767825,11.833,16.7,2.486,6.1,,,5.818,,54.24,0.398
TGO,Togo,Africa,4463.82,32.773,1.0193353783231083,,,86.722,0.313,17.56,43.61255941499086,143.366,19.4,2.839,6.15,0.9,14.2,10.475,0.7,61.04,0.515
THA,Thailand,Asia,66181.868,476.491,0.9881524926686217,,,345.439,0.5805,74.6,43.042358318098714,135.132,40.1,11.373,7.04,1.9,38.8,90.67,2.1,77.15,0.777
TJK,Tajikistan,Asia,1787.037,12.559,0.38247687564234323,,,,,51.95,27.93074954296161,64.281,23.3,3.466,7.11,,,72.704,4.8,71.1,0.668
TKL,Tokelau,Oceania,2641.31,,,,,,,116.38,,,,,,,,,,81.86,
TKM,Turkmenistan,Asia,,,,,,,,52.22,48.94180073126143,12.253,26.899999999999995,4.277,7.11,,,100.0,7.400000000000001,68.19,0.715
TLS,Timor,Asia,17483.065,102.885,0.8868405797101448,,,200.493,0.677,59.6,36.303400365630715,87.176,18.0,3.556,6.86,6.3,78.1,28.178,5.9,69.5,0.606
TON,Tonga,Oceania,157363.826,112.289,0.5078947368421053,,,,,72.39,45.68866544789763,150.028,22.3,5.82,15.42,11.8,44.4,,2.6,70.91,0.725
TTO,Trinidad and Tobago,North America,125075.52,2867.326,0.9186640079760717,,,503.653,0.689,46.82,52.234597806215724,266.886,36.2,10.014,10.97,,,89.443,3.0,73.51,0.796
TUN,Tunisia,Africa,93340.254,2381.007,0.9626331360946746,,,379.013,0.4881,51.81,49.45946983546617,74.228,32.7,8.001,8.52,1.1,65.8,78.687,2.3,76.7,0.74
TUR,Turkey,Asia,199255.078,1188.394,0.8519627085377821,,,1924.668,0.2334,62.31,42.20237659963437,104.914,31.600000000000005,8.153,12.13,14.1,41.1,,2.81,77.69,0.82
