,location,continent,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,positive_rate,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,Country,Region,Population,Area(sq.mi.),Pop.Density(persq.mi.),Coastline(coast/arearatio),Netmigration,Infantmortality(per1000births),GDP($percapita),Literacy(%),Phones(per1000),Arable(%),Crops(%),Other(%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
75,Jamaica,North America,54830.228,1255.578,0.9596068548387097,,,397.603,0.4219,26.85,54.07849177330896,266.879,31.399999999999995,9.684,11.28,5.3,28.6,66.425,1.7000000000000002,74.47,0.734,Jamaica,LATINAMER.&CARIB,2758124,10991,250.9,9.3,-4.92,12.36,3900.0,87.9,124.0,16.07,10.16,73.77,2.0,20.82,6.52,0.049,0.337,0.615
76,Jersey,Europe,599218.383,1453.121,,,,,,73.9,,,,,,,,,,,,Jersey,WESTERNEUROPE,91084,116,785.2,60.34,2.76,5.24,24800.0,,811.3,0.0,0.0,100.0,3.0,9.3,9.28,0.05,0.02,0.93
77,Jordan,Asia,154794.998,1251.299,0.8180905511811023,,,1507.249,0.5815,40.39,41.33564899451554,109.285,23.2,3.81,11.75,,,,1.4,74.53,0.729,Jordan,NEAREAST,5906760,92300,64.0,0.03,6.59,17.35,4300.0,91.3,104.5,2.67,1.83,95.5,1.0,21.25,2.65,0.033,0.287,0.68
78,Japan,Asia,272715.688,602.606,1.077189292543021,24.477,358.672,429.37,0.4913,83.4,40.43196526508227,347.778,48.2,27.049,5.72,11.2,33.7,,13.05,84.63,0.9189999999999999,Japan,ASIA(EX.NEAREAST),127463611,377835,337.4,7.87,0.0,3.26,28200.0,99.0,461.2,12.19,0.96,86.85,3.0,9.37,9.16,0.017,0.258,0.725
79,Kazakhstan,Asia,77474.851,983.194,0.9531521739130435,,,623.295,0.2281,54.79,51.334972577696526,6.681,30.600000000000005,6.991,7.11,7.0,43.1,98.999,6.699999999999999,73.6,0.8249999999999998,Kazakhstan,C.W.OFIND.STATES,15233244,2717300,5.6,0.0,-3.35,29.21,6300.0,98.4,164.1,7.98,0.05,91.97,4.0,16.0,9.42,0.067,0.386,0.547
80,Kenya,Africa,6354.395,105.28,1.0176318407960199,,,70.335,0.3541,20.53,51.64378427787934,87.324,20.0,2.686,2.92,1.2,20.4,24.651,1.4,66.7,0.601,Kenya,SUB-SAHARANAFRICA,34707817,582650,59.6,0.09,-0.1,61.47,1000.0,85.1,8.1,8.08,0.98,90.94,1.5,39.72,14.02,0.163,0.188,0.651
81,Kyrgyzstan,Asia,31202.206,451.089,0.8819563058589871,,,,,20.94,46.101654478976236,32.333,26.299999999999997,4.489,7.11,3.6,50.5,89.22,4.5,71.45,0.697,Kyrgyzstan,C.W.OFIND.STATES,5213898,198500,26.3,0.0,-2.45,35.64,1600.0,97.0,84.0,7.3,0.35,92.35,2.5,22.8,7.08,0.353,0.208,0.439
82,Cambodia,Asia,8277.924,182.254,0.7957383548067394,,,179.493,0.2509,87.43,45.20405850091407,90.672,25.6,4.412,4.0,2.0,33.7,66.229,0.8,69.82,0.594,Cambodia,ASIA(EX.NEAREAST),13881427,181040,76.7,0.24,0.0,71.48,1900.0,69.4,2.6,20.96,0.61,78.43,2.0,26.9,9.06,0.35,0.3,0.35
83,Kiribati,Oceania,38380.944,182.875,0.25252199413489734,,,,,62.08,25.239707495429613,143.701,23.2,3.895,22.66,35.9,58.9,,1.8999999999999997,68.37,0.63,Kiribati,OCEANIA,105432,811,130.0,140.94,0.0,48.52,800.0,,42.7,2.74,50.68,46.58,2.0,30.65,8.26,0.089,0.242,0.668
84,Kuwait,Asia,155999.012,602.031,0.92193359375,,,1931.449,0.2627,78.38,48.63106946983547,232.128,33.7,2.345,15.84,2.7,37.0,,2.0,75.49,0.806,Kuwait,NEAREAST,2418393,17820,135.7,2.8,14.18,9.95,19000.0,83.5,211.0,0.73,0.11,99.16,1.0,21.94,2.41,0.004,0.479,0.516
85,Laos,Asia,28988.069,89.116,1.0274313408723748,,,138.751,0.9293,69.36,46.22556672760511,29.715,24.4,4.029,4.0,7.3,51.2,49.839,1.5,67.92,0.613,Laos,ASIA(EX.NEAREAST),6368481,236800,26.9,0.0,0.0,85.22,1700.0,66.4,14.1,3.8,0.35,95.85,2.0,35.49,11.55,0.455,0.287,0.258
86,Lebanon,Asia,225430.548,1988.071,1.0380254154447703,,,846.002,,43.98,51.95795246800731,594.561,31.100000000000005,8.514,12.71,26.9,40.7,,2.9,78.93,0.744,Lebanon,NEAREAST,3874050,10400,372.5,2.16,0.0,24.52,4800.0,87.4,255.6,16.62,13.98,69.4,,18.52,6.21,0.12,0.21,0.67
87,Liberia,Africa,1525.641,55.444,0.5358680203045686,,,26.923,,70.36,45.413546617915905,49.127,19.2,3.057,2.42,1.5,18.1,1.188,0.8,64.1,0.4799999999999999,Liberia,SUB-SAHARANAFRICA,3042004,111370,27.3,0.52,0.0,128.87,1000.0,57.5,2.3,3.95,2.28,93.77,2.0,44.77,23.1,0.769,0.054,0.177
88,Libya,Africa,74462.329,944.902,0.8410537407797681,,,,0.2478,18.15,56.879670932358316,3.623,29.0,4.424,10.43,,,,3.7000000000000006,72.91,0.724,Libya,NORTHERNAFRICA,5900754,1759540,3.4,0.1,0.0,24.6,6400.0,82.6,127.1,1.03,0.19,98.78,,26.49,3.48,0.076,0.499,0.425
89,Liechtenstein,Europe,545546.944,2210.647,1.0612268518518517,,559.014,2321.576,0.346,,35.48836380255941,237.012,,,7.77,,,,2.397,82.49,0.9189999999999999,Liechtenstein,WESTERNEUROPE,33987,160,212.4,0.0,4.85,4.7,25000.0,100.0,585.5,25.0,0.0,75.0,4.0,10.21,7.18,0.06,0.39,0.55
90,Lesotho,Africa,14957.764,306.181,0.5626571113561191,,,201.508,0.181,40.68,43.97591407678245,73.562,22.2,4.506,3.94,0.4,53.9,2.117,,54.33,0.527,Lesotho,SUB-SAHARANAFRICA,2022331,30355,66.6,0.0,-0.74,84.23,3000.0,84.8,23.7,10.87,0.13,89.0,3.0,24.75,28.71,0.163,0.443,0.394
91,Lithuania,Europe,480255.689,3522.471,1.0343336623889436,58.544,934.889,3128.553,0.505,68.38,36.08526508226691,45.135,43.5,19.002,3.67,21.3,38.0,,6.56,75.93,0.8819999999999999,Lithuania,BALTICS,3585906,65200,55.0,0.14,-0.71,6.89,11400.0,99.6,223.4,45.22,0.91,53.87,,8.75,10.98,0.055,0.325,0.62
92,Luxembourg,Europe,494068.107,1902.406,1.077737512242899,77.208,381.408,6725.731,0.405,71.45,37.750740402193784,231.447,39.7,14.312,4.42,20.9,26.0,,4.51,82.25,0.916,Luxembourg,WESTERNEUROPE,474413,2586,183.5,0.0,8.97,4.81,55100.0,100.0,515.4,23.28,0.4,76.32,,11.94,8.41,0.01,0.13,0.86
93,Latvia,Europe,528402.932,3440.946,1.052229862475442,128.603,,3876.137,0.4668,70.57,35.553546617915906,31.212,43.9,19.754,4.91,25.6,51.0,,5.57,75.29,0.866,Latvia,BALTICS,2274735,64589,35.2,0.82,-2.23,9.55,10200.0,99.8,321.4,29.67,0.47,69.86,3.0,9.24,13.66,0.04,0.261,0.699
94,Morocco,Africa,34016.253,435.074,1.0310826771653543,,,316.606,0.2653,62.8,53.89393967093236,80.08,29.600000000000005,6.769,7.14,0.8,47.1,,1.1,76.68,0.686,Morocco,NORTHERNAFRICA,33241259,446550,74.4,0.41,-0.98,41.62,4000.0,51.7,40.4,19.61,2.17,78.22,,21.98,5.58,0.217,0.357,0.426
95,Monaco,Europe,460497.109,1836.069,1.0062054054054055,,,,,70.34,36.86795246800731,19347.5,,,5.46,,,,13.800000000000002,86.75,,Monaco,WESTERNEUROPE,32543,2,16271.5,205.0,7.75,5.43,27000.0,99.0,1035.6,0.0,0.0,100.0,,9.19,12.91,0.17,,
96,Moldova,Europe,189604.439,3702.422,0.9762561576354679,,,,0.447,32.94,41.23782449725777,123.655,37.6,10.864,5.72,5.9,44.6,86.979,5.8,71.9,0.75,Moldova,C.W.OFIND.STATES,4466706,33843,132.0,0.0,-0.26,40.42,1800.0,99.1,208.1,55.3,10.79,33.91,,15.7,12.64,0.213,0.233,0.555
97,Madagascar,Africa,2306.148,48.123,0.6974899598393575,,,15.623,0.5468,8.51,37.640539305301644,43.951,19.6,2.929,3.94,,,50.54,0.2,67.04,0.528,Madagascar,SUB-SAHARANAFRICA,18595469,587040,31.7,0.82,0.0,76.83,800.0,68.9,3.6,5.07,1.03,93.91,2.0,41.41,11.11,0.276,0.165,0.559
98,Maldives,Asia,356381.659,603.286,0.9672154471544716,,,4240.251,0.3653,73.53,,1454.433,30.600000000000005,4.12,9.19,2.1,55.0,95.803,,78.92,0.74,Maldives,ASIA(EX.NEAREAST),359008,300,1196.7,214.67,0.0,56.52,3900.0,97.2,90.0,13.33,16.67,70.0,2.0,34.81,7.06,0.2,0.18,0.62
99,Mexico,North America,59771.104,2620.833,1.0249901960784313,,,122.879,0.69,64.19,43.99120437956204,66.444,29.300000000000004,6.857,13.06,6.9,21.4,87.847,1.38,75.05,0.779,Mexico,LATINAMER.&CARIB,107449525,1972550,54.5,0.47,-4.87,20.91,9000.0,92.2,181.6,12.99,1.31,85.7,1.5,20.69,4.74,0.038,0.259,0.702
100,Mali,Africa,1467.23,32.885,0.9930150753768844,,,32.326,0.0337,16.08,37.610886654478975,15.196,16.4,2.519,2.42,1.6,23.0,52.232,0.1,59.31,0.43400000000000005,Mali,SUB-SAHARANAFRICA,11716829,1240000,9.5,0.0,-0.33,116.79,900.0,46.4,6.4,3.82,0.03,96.15,2.0,49.82,16.89,0.45,0.17,0.38
101,Malta,Europe,222684.341,1569.494,0.9960295566502463,50.629,,3703.589,0.2502,88.42,39.973967093235835,1454.037,42.4,19.426,8.83,20.9,30.2,,4.485,82.53,0.895,Malta,WESTERNEUROPE,400214,316,1266.5,62.28,2.07,3.89,17700.0,92.8,505.0,28.13,3.13,68.74,,10.22,8.1,0.03,0.23,0.74
102,Mongolia,Asia,297211.048,628.536,0.8896774193548387,,,2213.041,0.9912,64.02,43.040603290676415,1.98,28.600000000000005,4.031,4.82,5.5,46.5,71.18,7.0,69.87,0.737,Mongolia,ASIA(EX.NEAREAST),2832224,1564116,1.8,0.0,0.0,53.79,1800.0,97.8,55.1,0.77,0.0,99.23,1.0,21.59,6.95,0.206,0.214,0.58
103,Mozambique,Africa,7079.782,68.033,0.9401138716356108,,,41.83,0.6374,59.95,43.918921389396715,37.728,17.7,3.158,3.3,5.1,29.1,12.227,0.7,60.85,0.456,Mozambique,SUB-SAHARANAFRICA,19686505,801590,24.6,0.31,0.0,130.79,1200.0,47.8,3.5,5.1,0.3,94.6,2.0,35.18,21.35,0.262,0.348,0.39
104,Mauritania,Africa,13445.743,210.509,0.9596450939457203,,,216.286,0.5763,32.48,36.331288848263256,4.289,20.3,3.138,2.42,,,15.95,,64.92,0.546,Mauritania,SUB-SAHARANAFRICA,3177388,1030700,3.1,0.07,0.0,70.89,1800.0,41.7,12.9,0.48,0.01,99.51,1.0,40.99,12.16,0.25,0.29,0.46
105,Montserrat,North America,317924.315,1812.826,,,,,,44.23,,,,,,,,,,74.16,,Montserrat,LATINAMER.&CARIB,9439,102,92.5,39.22,0.0,7.35,3400.0,97.0,,20.0,0.0,80.0,2.0,17.59,7.1,,,
106,Martinique,North America,625761.88,2998.542,,,,,,,,,45.7,,,,,,,82.54,,Martinique,LATINAMER.&CARIB,436131,1100,396.5,31.82,-0.05,7.09,14400.0,97.7,394.4,10.38,9.43,80.19,2.0,13.74,6.48,0.06,0.11,0.83
107,Mauritius,Africa,236224.853,808.786,0.5482755203171458,,,987.58,0.2934,83.74,34.36884826325411,622.962,37.4,10.945,22.02,3.2,40.7,,3.4000000000000004,74.99,0.804,Mauritius,SUB-SAHARANAFRICA,1240827,2040,608.3,8.68,-0.9,15.03,11400.0,85.6,289.3,49.26,2.96,47.78,2.0,15.43,6.86,0.059,0.298,0.643
108,Malawi,Africa,4345.044,131.632,0.9584453781512604,,,29.628,0.7944,20.06,39.05315356489945,197.519,18.1,2.979,3.94,4.4,24.7,8.704,1.3,64.26,0.483,Malawi,SUB-SAHARANAFRICA,13013926,118480,109.8,0.0,0.0,103.32,600.0,62.7,7.9,23.38,1.49,75.13,2.0,43.13,19.33,0.342,0.158,0.499
109,Malaysia,Asia,150280.41,1092.78,1.0442079689018464,46.938,434.702,1806.391,0.1575,81.18,49.286206581352836,96.254,29.899999999999995,6.293,16.74,1.0,42.4,,1.8999999999999997,76.16,0.81,Malaysia,ASIA(EX.NEAREAST),24385858,329750,74.0,1.42,0.0,17.7,9000.0,88.7,179.0,5.48,17.61,76.91,2.0,22.86,5.05,0.084,0.48,0.436
110,Mayotte,Africa,128872.507,573.421,,,,,,,,,20.1,,,,,,,79.46,,Mayotte,SUB-SAHARANAFRICA,201234,374,538.1,49.52,6.78,62.4,2600.0,,49.7,,,,2.0,40.95,7.7,,,
111,Namibia,Africa,66734.865,1593.674,0.8119652551574377,,,417.384,0.6535,20.99,35.3817915904936,3.078,22.0,3.552,3.94,9.7,34.2,44.6,,63.71,0.646,Namibia,SUB-SAHARANAFRICA,2044147,825418,2.5,0.19,0.0,48.98,7200.0,84.0,62.6,0.99,0.0,99.01,1.0,24.32,18.86,0.097,0.315,0.588
112,Niger,Africa,362.981,12.019,0.7922808764940239,,,10.08,0.0396,20.81,21.389625228519197,16.955,15.100000000000001,2.553,2.42,0.1,15.4,8.978,0.3,62.42,0.394,Niger,SUB-SAHARANAFRICA,12525094,1267000,9.9,0.0,-0.67,121.69,800.0,17.6,1.9,3.54,0.01,96.45,1.0,50.73,20.91,0.39,0.17,0.44
113,Nigeria,Africa,1220.25,14.437,1.0092765113974231,,,24.74,0.2977,31.94,40.85574040219378,209.588,18.1,2.751,2.42,0.6,10.8,41.949,,54.69,0.539,Nigeria,SUB-SAHARANAFRICA,131859731,923768,142.7,0.09,0.26,98.8,900.0,68.0,9.3,31.29,2.96,65.75,1.5,40.43,16.94,0.269,0.487,0.244
114,Nicaragua,North America,2265.127,35.26,0.9952510460251046,,,28.666,0.035,87.66,11.354616087751372,51.667,27.299999999999997,5.445,11.47,,,,0.8999999999999999,74.48,0.66,Nicaragua,LATINAMER.&CARIB,5570129,129494,43.0,0.7,-1.22,29.11,2300.0,67.5,39.7,15.94,1.94,82.12,2.0,24.51,4.45,0.165,0.275,0.56
115,Netherlands,Europe,490227.864,1309.04,1.0697192642787996,43.783,109.201,1753.393,0.7,68.08,42.975347349177326,508.544,43.2,18.779,5.29,24.4,27.3,,3.3199999999999994,82.28,0.944,Netherlands,WESTERNEUROPE,16491461,41526,397.1,1.09,2.91,5.04,28600.0,99.0,460.8,26.71,0.97,72.32,3.0,10.9,8.68,0.021,0.244,0.736
116,Norway,Europe,273281.829,1017.238,1.0388565891472867,,117.402,2064.505,0.787,74.61,35.695210237659964,14.462,39.7,16.821,5.31,19.6,20.7,,3.5999999999999996,82.4,0.957,Norway,WESTERNEUROPE,4610820,323802,14.2,7.77,1.74,3.7,37800.0,100.0,461.7,2.87,0.0,97.13,3.0,11.46,9.4,0.021,0.415,0.564
117,Nepal,Asia,32845.541,393.845,1.0120721649484536,,,232.031,0.463,79.8,51.27999085923217,204.43,25.0,5.809,7.26,9.5,37.8,47.782,0.3,70.78,0.602,Nepal,ASIA(EX.NEAREAST),28287147,147181,192.2,0.0,0.0,66.98,1400.0,45.2,15.9,21.68,0.64,77.68,,30.98,9.31,0.38,0.21,0.41
118,Nauru,Oceania,424946.813,78.796,0.12112244897959183,,,,,89.4,,682.45,,,24.07,43.0,36.9,,5.0,59.96,,Nauru,OCEANIA,13287,21,632.7,142.86,0.0,9.95,5000.0,,143.0,0.0,0.0,100.0,2.0,24.76,6.7,,,
119,Oman,Asia,87286.454,1011.297,0.8578557312252965,,,449.439,0.7041,66.62,46.372531992687385,14.98,30.700000000000003,2.355,12.61,0.5,15.6,97.4,1.6,77.86,0.813,Oman,NEAREAST,3102229,212460,14.6,0.98,0.28,19.51,13100.0,75.8,85.5,0.0,0.14,99.74,1.0,36.24,3.81,0.027,0.39,0.583
120,Pakistan,Asia,6702.563,129.995,0.9649169110459433,,,124.846,0.2562,59.56,52.350868372943324,255.573,23.5,4.495,8.35,2.8,36.7,59.607,0.6,67.27,0.557,Pakistan,ASIA(EX.NEAREAST),165803560,803940,206.2,0.13,-2.77,72.44,2100.0,45.7,31.8,27.87,0.87,71.26,1.0,29.74,8.23,0.216,0.251,0.533
121,Panama,North America,235955.688,1956.185,0.9973405299313052,,,1493.643,0.4137,72.0,50.06598720292505,55.133,29.700000000000003,7.918,8.33,2.4,9.9,,2.3,78.51,0.815,Panama,LATINAMER.&CARIB,3191319,78200,40.8,3.18,-0.91,20.47,6300.0,92.6,137.9,7.36,1.98,90.66,2.0,21.74,5.36,0.068,0.156,0.776
122,Peru,South America,132376.433,6480.93,1.0810088148873653,,,859.283,0.333,84.18,53.71301645338208,25.129,29.100000000000005,7.151,5.95,4.8,,,1.6,76.74,0.777,Peru,LATINAMER.&CARIB,28302603,1285220,22.0,0.19,-1.05,31.94,5100.0,90.9,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65
123,Philippines,Asia,35898.552,575.256,1.04533203125,,,250.025,0.4611,67.88,58.58877513711152,351.873,25.2,4.803,7.07,7.8,40.8,78.463,1.0,71.23,0.718,Philippines,ASIA(EX.NEAREAST),89468677,300000,298.2,12.1,-1.5,23.51,4600.0,92.6,38.4,18.95,16.77,64.28,2.0,24.89,5.41,0.144,0.326,0.53
124,Palau,Oceania,332282.681,497.678,0.5984857142857143,,,3308.2,0.1534,,,47.237,,,15.89,7.7,22.7,,4.8,73.7,0.8260000000000001,Palau,OCEANIA,20579,458,44.9,331.66,2.85,14.84,9000.0,92.0,325.6,8.7,4.35,86.95,2.0,18.03,6.8,0.062,0.12,0.818
125,Poland,Europe,163514.902,3001.143,1.043388671875,,874.724,964.881,0.4069,56.82,39.8650365630713,124.027,41.8,16.763,5.91,23.3,33.1,,6.62,78.73,0.88,Poland,EASTERNEUROPE,38536869,312685,123.3,0.16,-0.49,8.51,11100.0,99.8,306.3,45.91,1.12,52.97,3.0,9.85,9.89,0.05,0.311,0.64
126,Portugal,Europe,544262.957,2609.714,1.031258536585366,88.016,668.785,4161.808,0.5301,86.66,43.77980804387568,112.371,46.2,21.502,9.85,16.3,30.0,,3.3899999999999997,82.05,0.8640000000000001,Portugal,WESTERNEUROPE,10605870,92391,114.8,1.94,3.57,5.05,18000.0,93.3,399.2,21.75,7.81,70.44,3.0,10.72,10.5,0.053,0.274,0.673
127,Paraguay,South America,108507.104,2931.831,0.8421834496510469,,,389.304,0.639,52.31,43.75977148080439,17.144,26.5,6.378,8.27,5.0,21.6,79.602,1.3,74.25,0.728,Paraguay,LATINAMER.&CARIB,6506464,406750,16.0,0.0,-0.08,25.63,4700.0,94.0,49.2,7.6,0.23,92.17,2.0,29.1,4.49,0.224,0.207,0.569
128,Qatar,Asia,190558.455,256.017,1.0215481986368062,,,2817.619,,105.83,52.586325411334556,227.322,31.899999999999995,1.307,16.52,0.8,26.9,,1.2,80.23,0.848,Qatar,NEAREAST,885359,11437,77.4,4.92,16.29,18.61,21500.0,82.5,232.0,1.64,0.27,98.09,1.0,15.56,4.72,0.002,0.801,0.197
129,Reunion,Africa,507765.419,945.525,,,,,,,,,36.0,,,,,,,80.48,,Reunion,SUB-SAHARANAFRICA,787584,2517,312.9,8.22,0.0,7.78,5800.0,88.9,380.9,13.6,1.2,85.2,2.0,18.9,5.49,0.08,0.19,0.73
130,Romania,Europe,173211.213,3468.745,0.949892578125,96.748,1065.706,1099.946,0.7675,41.28,44.404478976234,85.129,43.0,17.85,9.74,22.9,37.1,,6.8919999999999995,76.05,0.828,Romania,EASTERNEUROPE,22303552,237500,93.9,0.09,-0.13,26.43,7000.0,98.4,196.9,40.82,2.25,56.93,3.0,10.7,11.77,0.101,0.35,0.549
131,Russia,Europe,158537.302,2758.737,1.0461998041136142,,,2034.729,0.2949,55.08,41.29217550274223,8.823,39.6,14.178,6.18,23.4,58.3,,8.05,72.58,0.824,Russia,C.W.OFIND.STATES,142893540,17075200,8.4,0.22,1.02,15.39,8900.0,99.6,280.6,7.33,0.11,92.56,,9.95,14.65,0.054,0.371,0.575
132,Rwanda,Africa,9668.061,106.557,0.9276470588235294,,,411.155,0.1257,71.85,53.826005484460694,494.869,20.3,2.974,4.28,4.7,21.0,4.617,,69.02,0.543,Rwanda,SUB-SAHARANAFRICA,8648248,26338,328.4,0.0,0.0,91.23,1300.0,70.4,2.7,40.54,12.16,47.3,3.0,40.37,16.09,0.401,0.229,0.37
133,Sudan,Africa,1365.207,107.65,0.8305578093306287,,,12.33,,28.62,29.500191956124315,23.258,19.7,3.548,15.67,,,23.437,0.8,65.31,0.51,Sudan,SUB-SAHARANAFRICA,41236378,2505810,16.5,0.03,-0.02,62.5,1900.0,61.1,16.3,6.83,0.18,92.99,2.0,34.53,8.97,0.387,0.203,0.41
134,Senegal,Africa,5139.563,113.822,0.9776976284584981,,,65.303,0.5714,8.33,26.687056672760512,82.328,18.7,3.008,2.42,0.4,16.6,20.859,,67.94,0.512,Senegal,SUB-SAHARANAFRICA,11987121,196190,61.1,0.27,0.2,55.51,1600.0,40.2,22.2,12.78,0.21,87.01,2.0,32.78,9.42,0.172,0.209,0.619
135,Singapore,Asia,438938.858,305.48,1.0519364161849711,,,,0.1718,90.85,43.654003656307125,7915.731,42.4,12.922,10.99,5.2,28.3,,2.4,83.62,0.938,Singapore,ASIA(EX.NEAREAST),4492150,693,6482.2,27.85,11.53,2.29,23700.0,92.5,411.4,1.64,0.0,98.36,2.0,9.34,4.28,0.0,0.339,0.661
136,Somalia,Africa,1553.288,77.34,0.576959595959596,,,29.37,0.0624,39.98,29.939606946983545,23.5,16.8,2.731,6.05,,,9.831,0.8999999999999999,57.4,,Somalia,SUB-SAHARANAFRICA,8863338,637657,13.9,0.47,5.37,116.7,500.0,37.8,11.3,1.67,0.04,98.29,1.0,45.13,16.63,0.65,0.1,0.25
137,Serbia,Europe,369984.081,2627.501,1.0367811579980373,51.371,1416.129,1433.869,0.5768,47.71,37.394954296160876,80.291,41.2,17.366,10.08,37.7,40.2,97.719,5.609,76.0,0.806,Serbia,EASTERNEUROPE,9396411,88361,106.3,0.0,-1.33,12.89,2200.0,93.0,285.8,33.35,3.2,63.45,,,,0.166,0.255,0.579
138,Suriname,South America,133506.244,2273.294,0.8821914893617021,,,137.335,0.508,38.49,54.346654478976234,3.612,29.600000000000005,6.933,12.54,7.4,42.9,67.779,3.1,71.68,0.738,Suriname,LATINAMER.&CARIB,439117,163270,2.7,0.24,-8.81,23.57,4000.0,93.0,184.7,0.37,0.06,99.57,2.0,18.02,7.27,0.13,0.22,0.65
139,Slovakia,Europe,330800.37,3750.717,0.9855740922473012,112.165,701.343,9405.66,0.34,45.68,39.05111517367459,113.128,41.2,15.07,7.29,23.1,37.7,,5.82,77.54,0.86,Slovakia,EASTERNEUROPE,5439448,48845,111.4,0.0,0.3,7.41,13300.0,,220.1,30.16,2.62,67.22,3.0,10.65,9.45,0.035,0.294,0.672
140,Slovenia,Europe,634192.249,4424.384,1.0561463414634147,136.331,624.575,2517.858,0.748,57.66,40.655402193784276,102.619,44.5,19.062,7.25,20.1,25.0,,4.5,81.32,0.917,Slovenia,EASTERNEUROPE,2010347,20273,99.2,0.23,1.12,4.45,19000.0,99.7,406.1,8.6,1.49,89.91,,8.98,10.31,0.028,0.369,0.603
141,Sweden,Europe,256928.555,2310.19,1.143827519379845,53.084,263.144,1758.614,0.7919,71.98,36.756435100548444,24.718,41.0,19.985,4.79,18.8,18.9,,2.22,82.8,0.945,Sweden,WESTERNEUROPE,9016596,449964,20.0,0.72,1.67,2.77,26800.0,99.0,715.0,6.54,0.01,93.45,3.0,10.27,10.31,0.011,0.282,0.707
142,Seychelles,Africa,475446.866,1605.451,0.7327924944812362,,,,,78.0,46.13047531992687,208.354,36.2,8.606,10.55,7.1,35.7,,3.5999999999999996,73.4,0.796,Seychelles,SUB-SAHARANAFRICA,81541,455,179.2,107.91,-5.69,15.53,7800.0,58.0,262.4,2.22,13.33,84.45,2.0,16.03,6.29,0.032,0.304,0.665
143,Syria,Asia,2595.361,142.959,0.9767752100840336,,,8.251,0.5305,10.66,37.58095978062157,,21.7,,,,,70.598,1.5,72.7,0.567,Syria,NEAREAST,18881361,185180,102.0,0.1,0.0,29.53,3300.0,76.9,153.8,25.22,4.43,70.35,1.0,27.76,4.81,0.249,0.23,0.519
144,Chad,Africa,434.343,10.946,0.6533128205128206,,,12.74,0.2394,34.57,36.380009140767825,11.833,16.7,2.486,6.1,,,5.818,,54.24,0.398,Chad,SUB-SAHARANAFRICA,9944201,1284000,7.7,0.0,-0.11,93.82,1200.0,47.5,1.3,2.86,0.02,97.12,2.0,45.73,16.38,0.335,0.259,0.406
145,Togo,Africa,4463.82,32.773,1.0193353783231083,,,86.722,0.313,17.56,43.61255941499086,143.366,19.4,2.839,6.15,0.9,14.2,10.475,0.7,61.04,0.515,Togo,SUB-SAHARANAFRICA,5548702,56785,97.7,0.1,0.0,66.61,1500.0,60.9,10.6,46.15,2.21,51.64,2.0,37.01,9.83,0.395,0.204,0.401
146,Thailand,Asia,66181.868,476.491,0.9881524926686217,,,345.439,0.5805,74.6,43.042358318098714,135.132,40.1,11.373,7.04,1.9,38.8,90.67,2.1,77.15,0.777,Thailand,ASIA(EX.NEAREAST),64631595,514000,125.7,0.63,0.0,20.48,7400.0,92.6,108.9,29.36,6.46,64.18,2.0,13.87,7.04,0.099,0.441,0.46
147,Tajikistan,Asia,1787.037,12.559,0.38247687564234323,,,,,51.95,27.93074954296161,64.281,23.3,3.466,7.11,,,72.704,4.8,71.1,0.668,Tajikistan,C.W.OFIND.STATES,7320815,143100,51.2,0.0,-2.86,110.76,1000.0,99.4,33.5,6.61,0.92,92.47,2.0,32.65,8.25,0.234,0.286,0.48
148,Turkmenistan,Asia,,,,,,,,52.22,48.94180073126143,12.253,26.899999999999995,4.277,7.11,,,100.0,7.400000000000001,68.19,0.715,Turkmenistan,C.W.OFIND.STATES,5042920,488100,10.3,0.0,-0.86,73.08,5800.0,98.0,74.6,3.72,0.14,96.14,1.0,27.61,8.6,0.209,0.38,0.411
149,Tonga,Oceania,157363.826,112.289,0.5078947368421053,,,,,72.39,45.68866544789763,150.028,22.3,5.82,15.42,11.8,44.4,,2.6,70.91,0.725,Tonga,OCEANIA,114689,748,153.3,56.02,0.0,12.62,2200.0,98.5,97.7,23.61,43.06,33.33,2.0,25.37,5.28,0.23,0.27,0.5
150,Tunisia,Africa,93340.254,2381.007,0.9626331360946746,,,379.013,0.4881,51.81,49.45946983546617,74.228,32.7,8.001,8.52,1.1,65.8,78.687,2.3,76.7,0.74,Tunisia,NORTHERNAFRICA,10175014,163610,62.2,0.7,-0.57,24.77,6900.0,74.2,123.6,17.86,13.74,68.4,3.0,15.52,5.13,0.132,0.318,0.55
151,Turkey,Asia,199255.078,1188.394,0.8519627085377821,,,1924.668,0.2334,62.31,42.20237659963437,104.914,31.600000000000005,8.153,12.13,14.1,41.1,,2.81,77.69,0.82,Turkey,NEAREAST,70413958,780580,90.2,0.92,0.0,41.04,6700.0,86.5,269.5,30.93,3.31,65.76,3.0,16.62,5.97,0.117,0.298,0.585
