country,is_canceled,lead_time,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,adr,required_car_parking_spaces
Maldives,0.75,73.75,0.0,0.0,0.0,0.3333333333333333,1.25,2.6666666666666665,1.8333333333333333,0.3333333333333333,0.0,124.11666666666667,0.0
Mexico,0.11764705882352941,47.90588235294118,0.0,0.0,0.0,0.27058823529411763,0.788235294117647,1.776470588235294,1.7647058823529411,0.11764705882352941,0.0,115.9189411764706,0.011764705882352941
North Macedonia,0.2,198.2,0.0,0.0,0.0,0.7,1.1,2.6,1.3,0.2,0.1,83.94500000000001,0.0
Mali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,89.0,0.0
Malta,0.2777777777777778,102.77777777777777,0.0,0.0,0.0,0.16666666666666666,1.0,2.5555555555555554,1.7777777777777777,0.05555555555555555,0.0,102.79055555555556,0.1111111111111111
Myanmar,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,145.0,0.0
Montenegro,0.4,126.2,0.0,0.0,0.0,0.2,1.4,3.2,1.6,0.4,0.0,110.3,0.0
Mozambique,0.2835820895522388,94.77611940298507,0.014925373134328358,0.0,0.0,0.6268656716417911,1.2238805970149254,2.8507462686567164,1.8059701492537314,0.05970149253731343,0.0,112.18656716417911,0.014925373134328358
Mauritania,0.0,148.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,97.65,0.0
Mauritius,0.14285714285714285,43.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,2.857142857142857,1.7142857142857142,0.14285714285714285,0.0,96.22428571428573,0.0
Malawi,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,2.0,0.0,0.0,83.0,1.0
Malaysia,0.10714285714285714,76.32142857142857,0.0,0.0,0.0,0.75,0.9285714285714286,2.142857142857143,1.8571428571428572,0.17857142857142858,0.0,83.49571428571429,0.0
Mayotte,1.0,208.0,0.0,0.0,0.0,0.0,2.0,1.5,2.0,1.0,0.0,177.75,0.0
Namibia,0.0,44.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,121.61,0.0
New Caledonia,0.0,116.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,175.5,0.0
Nigeria,0.6176470588235294,30.441176470588236,0.029411764705882353,0.0,0.0,0.17647058823529413,1.2352941176470589,3.2058823529411766,1.7058823529411764,0.2647058823529412,0.08823529411764706,115.12617647058823,0.0
Nicaragua,1.0,21.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,139.0,0.0
Netherlands,0.18393536121673004,80.57699619771863,0.009505703422053232,0.0,0.013307984790874524,0.2889733840304182,1.0104562737642586,2.668250950570342,1.8740494296577948,0.13307984790874525,0.004752851711026616,108.08548003802282,0.08602661596958175
Norway,0.2981878088962109,122.74135090609555,0.0032948929159802307,0.0,0.0032948929159802307,0.34925864909390447,1.0955518945634266,3.238879736408567,1.9538714991762767,0.22075782537067545,0.004942339373970346,121.63301482701813,0.02471169686985173
Nepal,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,85.0,0.0
New Zealand,0.08108108108108109,119.54054054054055,0.0,0.0,0.0,0.22972972972972974,0.6486486486486487,2.081081081081081,1.837837837837838,0.06756756756756757,0.013513513513513514,108.68256756756757,0.08108108108108109
Oman,0.2222222222222222,78.33333333333333,0.0,0.0,0.0,0.2222222222222222,1.5,3.0555555555555554,1.8333333333333333,0.4444444444444444,0.0,99.22666666666666,0.16666666666666666
Pakistan,0.6428571428571429,41.785714285714285,0.0,0.0,0.0,0.07142857142857142,1.2857142857142858,3.357142857142857,1.7857142857142858,0.2857142857142857,0.0,129.82785714285714,0.07142857142857142
Panama,0.0,58.22222222222222,0.0,0.0,0.0,0.4444444444444444,1.4444444444444444,2.6666666666666665,2.111111111111111,0.0,0.0,110.16111111111111,0.0
Peru,0.20689655172413793,26.724137931034484,0.034482758620689655,0.3793103448275862,0.13793103448275862,0.3448275862068966,0.5862068965517241,2.206896551724138,1.7241379310344827,0.034482758620689655,0.0,121.77620689655173,0.034482758620689655
Philippines,0.625,58.05,0.0,0.0,0.0,0.575,0.65,2.1,2.125,0.05,0.0,154.35575,0.05
Palau,0.0,169.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,136.29,0.0
Poland,0.23394994559303592,90.7442872687704,0.00544069640914037,0.011969532100108813,0.03482045701849837,0.29053318824809576,1.1556039173014145,2.9162132752992385,1.9151251360174102,0.20348204570184983,0.011969532100108813,107.09914036996736,0.06746463547334058
Puerto Rico,0.16666666666666666,15.583333333333334,0.5,0.0,1.75,0.16666666666666666,0.25,1.5833333333333333,1.5,0.0,0.08333333333333333,84.205,0.0
Portugal,0.5663511010495987,115.56947931673184,0.06688619057419222,0.18950401317143445,0.30214035809837414,0.16982918295945668,0.7389997941963367,2.1762914179872404,1.7726075324140769,0.07137858642407278,0.008993620086437538,92.04148322700144,0.06379913562461412
Paraguay,0.0,35.5,0.0,0.0,0.0,0.0,0.75,0.75,2.0,0.0,0.0,112.6,0.0
French Polynesia,0.0,159.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,144.0,0.0
Qatar,0.7333333333333333,62.333333333333336,0.0,0.0,0.0,0.13333333333333333,1.1333333333333333,2.7333333333333334,2.1333333333333333,0.2,0.0,144.60466666666667,0.0
Romania,0.268,108.154,0.0,0.0,0.0,0.262,1.15,3.38,1.918,0.178,0.02,115.03272,0.062
Russia,0.37816455696202533,80.22310126582279,0.004746835443037975,0.0,0.0,0.2626582278481013,1.0664556962025316,2.8259493670886076,1.8718354430379747,0.18670886075949367,0.0031645569620253164,118.7004746835443,0.05379746835443038
Rwanda,0.0,102.0,0.0,0.0,0.0,0.0,2.0,4.5,1.5,0.0,0.0,83.265,0.0
Saudi Arabia,0.6875,33.4375,0.0,0.0,0.0,0.16666666666666666,1.6875,4.104166666666667,1.8125,0.22916666666666666,0.0,124.89145833333333,0.020833333333333332
Sudan,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,99.0,0.0
Senegal,0.7272727272727273,55.72727272727273,0.0,0.0,0.0,0.2727272727272727,2.727272727272727,6.090909090909091,1.7272727272727273,0.36363636363636365,0.0,126.06181818181818,0.0
Singapore,0.41025641025641024,89.56410256410257,0.0,0.0,0.02564102564102564,0.3076923076923077,0.717948717948718,1.7692307692307692,1.8974358974358974,0.02564102564102564,0.0,97.97102564102563,0.0
Sierra Leone,0.0,84.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,121.43,0.0
El Salvador,0.0,49.0,0.0,0.0,0.0,0.0,0.5,1.0,2.5,0.0,0.0,148.85,0.0
San Marino,0.0,154.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,88.2,0.0
Serbia,0.0297029702970297,142.26732673267327,0.0,0.0,0.0,0.31683168316831684,0.3069306930693069,2.4752475247524752,1.3663366336633664,0.0297029702970297,0.0,99.430099009901,0.0297029702970297
Sao Tome and Principe,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,2.0,0.0,0.0,117.0,0.0
Suriname,0.0,54.2,0.0,0.0,0.0,0.2,1.4,2.6,2.0,0.4,0.0,93.0,0.2
Slovakia,0.36923076923076925,137.3230769230769,0.0,0.0,0.0,0.12307692307692308,1.0461538461538462,2.6153846153846154,1.8615384615384616,0.13846153846153847,0.015384615384615385,107.37415384615385,0.07692307692307693
Slovenia,0.2631578947368421,64.0,0.03508771929824561,0.0,0.05263157894736842,0.2807017543859649,0.9122807017543859,2.175438596491228,1.6140350877192982,0.2982456140350877,0.0,116.42315789473685,0.07017543859649122
Sweden,0.2216796875,106.4033203125,0.009765625,0.00390625,0.0107421875,0.2763671875,1.1376953125,2.8017578125,1.8359375,0.166015625,0.005859375,112.897001953125,0.0595703125
Seychelles,0.5,74.0,0.0,0.0,0.0,0.0,0.5,1.5,1.5,0.0,0.0,132.125,0.0
Syria,0.0,9.333333333333334,0.0,0.0,0.0,1.0,1.0,1.6666666666666667,1.6666666666666667,0.0,0.0,98.33333333333333,0.0
Togo,0.0,62.0,0.0,0.0,0.0,0.0,2.5,5.5,2.0,0.0,0.0,105.75,0.0
Thailand,0.3050847457627119,55.49152542372882,0.0,0.0,0.0,0.1864406779661017,0.4576271186440678,1.6440677966101696,1.9661016949152543,0.2033898305084746,0.0,117.54254237288136,0.03389830508474576
Tajikistan,0.8888888888888888,44.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,2.7777777777777777,2.0,0.0,0.0,137.23333333333332,0.0
not found,0.3333333333333333,51.0,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,2.3333333333333335,0.6666666666666666,0.0,139.0666666666667,0.3333333333333333
Tunisia,0.48717948717948717,44.07692307692308,0.02564102564102564,0.0,0.0,0.20512820512820512,1.0,2.871794871794872,1.8974358974358974,0.20512820512820512,0.0,106.40923076923077,0.02564102564102564
Türkiye,0.4112903225806452,50.729838709677416,0.036290322580645164,0.0,0.0,0.23387096774193547,0.8911290322580645,2.254032258064516,1.8225806451612903,0.12096774193548387,0.0,112.11995967741936,0.016129032258064516
